_id,label,title,label_numeric
66b5aabf8a38820e82e0b6ce,Xu hướng,"100+ STT Né thính, Cap né thính hài hước, NÉT CĂNG, cực ngầu",7
66b5a9838a38820e82e0b64d,Xu hướng,"Top 111+ stt cuộc sống an nhiên, bình dị tự tại giúp bạn thêm yêu đời",7
66b5cb358a38820e82e0c408,Xu hướng,"Top hạt giống hoa dễ trồng, nở quanh năm cho người yêu hoa",7
66b5c7548a38820e82e0c271,Dinh dưỡng,Chi tiết 3 cách nấu rau bò khai đơn giản mà thơm ngon nhất,1
66b5c7a78a38820e82e0c294,Nhà,Top 10 quạt cây hơi nước được ưa chuộng nhất hiện nay,4
66b5cab28a38820e82e0c3d3,Xu hướng,"Bộ nhớ trong là gì? Bộ nhớ trong trên điện thoại, máy tính bao gồm gì?",7
66b5a4c78a38820e82e0b45c,Tài chính,Hướng dẫn cách đăng ký Digital OTP MBBank trên thiết bị mới 2024,6
66b5b2228a38820e82e0b9d2,Xu hướng,Tìm hiểu về sự tích ông Táo? Tại sao lại có lễ ông Công ông Táo,7
66b5d0618a38820e82e0c62e,Trẻ em,Sữa Optimum pha sẵn có tốt không? Lưu ý khi sử dụng cho bé,5
66b5cccd8a38820e82e0c4af,Làm Đẹp,Bút kẻ mắt Merzy có mấy loại? Top 5 sản phẩm tốt nhất,3
66b5a9cc8a38820e82e0b66b,Làm Đẹp,Review Top 5 kem chống nắng Skin Aqua cho da khô tốt nhất,3
66b5d2538a38820e82e0c6f8,Xu hướng,"7 màu son trong bảng màu son MAC ""hot trend"" nhất và được yêu thích nhất",7
66b5d3d98a38820e82e0c797,Nhà,Chảo đá là gì? Top 10 chảo chống dính vân đá tốt nhất nên mua,4
66b5b3a18a38820e82e0ba6f,Làm Đẹp,Top 10 dầu gội mọc tóc hiệu quả nhất hiện nay không nên bỏ qua,3
66b5b79f8a38820e82e0bc09,Xu hướng,Bao nhiêu follow thì được kiếm tiền trên Tiktok 2024,7
66b5ac808a38820e82e0b786,Làm Đẹp,Serum chống nắng Anessa có tốt không? Hợp với da gì nhất?,3
66b5a2d78a38820e82e0b38e,Xu hướng,Tổng hợp code Loomian Legacy miễn phí mới nhất 08/2024,7
66b5d5d18a38820e82e0c868,Xu hướng,Nhà nồm phải làm sao? 14 cách chống nồm đơn giản mà hiệu quả,7
66b5bac08a38820e82e0bd51,Xu hướng,Top 20+ bài thơ về hoa sen hay và ý nghĩa nhất bạn nên biết 2024,7
